id,complaint,category
1,"My order has been delayed for over two weeks","Product Delivery Delay"
2,"The item I received was damaged","Product Quality Issue"
3,"I was charged extra for my order","Billing Discrepancy"
4,"The company sent the wrong product and refuses to replace it","Product Quality Issue"
5,"My package tracking number is invalid","Product Delivery Issue"
6,"The delivery was rescheduled multiple times with no explanation","Product Delivery Delay"
7,"My order status shows delivered but I never received it","Product Delivery Issue"
8,"I was overcharged and my refund request was denied","Billing Discrepancy"
9,"The product description was misleading","Product Quality Issue"
10,"Customer support refuses to acknowledge my complaint","Customer Service"
11,"My package was marked as delivered, but I never got it","Product Delivery Issue"
12,"The website charged me twice for the same product","Billing Discrepancy"
13,"My refund has been pending for over a month","Billing Issue"
14,"The seller canceled my order without informing me","Product Delivery Issue"
15,"My order was lost during shipping","Product Delivery Issue"
16,"The product packaging was damaged upon arrival","Product Quality Issue"
17,"My return request was denied without reason","Return/Refund Issue"
18,"The online store refused to process my return","Return/Refund Issue"
19,"My credit card was charged, but I never received an order confirmation","Billing Discrepancy"
20,"The product was completely different from the images shown","Product Quality Issue"
21,"I was sent a used product instead of a new one","Product Quality Issue"
22,"My order was delivered to the wrong address","Product Delivery Issue"
23,"My discount code was applied but I was still charged the full amount","Billing Discrepancy"
24,"The customer service representative was rude and unhelpful","Customer Service"
25,"I am unable to cancel my order even though it hasn't shipped yet","Order Cancellation Issue"
26,"The company refused to honor their warranty","Product Quality Issue"
27,"The seller increased the price after I added the item to my cart","Billing Discrepancy"
28,"The mobile app keeps crashing when I try to checkout","Technical Issue"
29,"The website charged me for an item that was out of stock","Billing Discrepancy"
30,"The store does not allow cancellations even before shipping","Order Cancellation Issue"
31,"I received expired food items in my grocery order","Product Quality Issue"
32,"My account was locked for no reason","Account Problem"
33,"I was charged an unexpected membership fee","Billing Discrepancy"
34,"My order was marked as delivered but it was stolen","Product Delivery Issue"
35,"The refund was processed but never reached my bank account","Billing Issue"
36,"The company removed my negative review from their website","Customer Service"
37,"My shopping cart keeps emptying when I try to checkout","Technical Issue"
38,"The estimated delivery time was incorrect","Product Delivery Delay"
39,"The gift wrapping service was not applied but I was still charged for it","Billing Discrepancy"
40,"My gift card balance disappeared","Billing Issue"
41,"The product was defective and stopped working in a few days","Product Quality Issue"
42,"The product had missing parts","Product Quality Issue"
43,"The customer service team keeps giving me different answers","Customer Service"
44,"My subscription was renewed without my permission","Billing Discrepancy"
45,"My cashback offer was not applied correctly","Billing Discrepancy"
46,"The company refuses to give me a refund even though the item is defective","Return/Refund Issue"
47,"The courier service lost my package","Product Delivery Issue"
48,"The tracking information is incorrect","Product Delivery Issue"
49,"The packaging was torn and the product was exposed","Product Quality Issue"
50,"The product does not match the size guide on the website","Product Quality Issue"
51,"The website does not have an option to cancel orders","Order Cancellation Issue"
52,"The product had missing accessories","Product Quality Issue"
53,"I was promised a next-day delivery but my order is delayed","Product Delivery Delay"
54,"The estimated delivery date changed after I placed my order","Product Delivery Issue"
55,"The seller is ignoring my refund request","Return/Refund Issue"
56,"The order was marked as returned but I never got my refund","Return/Refund Issue"
57,"I received someone else's order","Product Delivery Issue"
58,"The online store falsely advertised the product's features","Product Quality Issue"
59,"The product was not as described","Product Quality Issue"
60,"The payment method I used was not accepted at checkout","Billing Issue"
61,"My payment was deducted but the order was not confirmed","Billing Issue"
62,"I received a completely different color than what I ordered","Product Quality Issue"
63,"The company refuses to refund me despite clear proof","Return/Refund Issue"
64,"The return label provided by the company is invalid","Return/Refund Issue"
65,"The product is smaller than what was described","Product Quality Issue"
66,"I was charged a customs fee that was not mentioned earlier","Billing Discrepancy"
67,"The product broke within a week of use","Product Quality Issue"
68,"The order tracking system is not updating","Product Delivery Issue"
69,"The product is counterfeit","Product Quality Issue"
70,"The seller blocked me after I requested a return","Customer Service"
71,"The website does not allow international shipping but did not mention it before purchase","Product Delivery Issue"
72,"I received a duplicate order and was charged for both","Billing Discrepancy"
73,"My saved payment methods disappeared from my account","Technical Issue"
74,"The customer service team is unresponsive","Customer Service"
75,"The refund process is too slow","Billing Issue"
76,"The seller refuses to provide an invoice for my purchase","Billing Issue"
77,"The loyalty points I earned disappeared from my account","Billing Discrepancy"
78,"The app automatically logs me out every time I open it","Technical Issue"
79,"I received a fake tracking number","Product Delivery Issue"
80,"The store does not offer any help after the return window closes","Customer Service"
81,"My return was approved but I still haven’t received a shipping label","Return/Refund Issue"
82,"The website is extremely slow and unresponsive","Technical Issue"
83,"The product arrived with a broken seal","Product Quality Issue"
84,"The company’s return policy is unclear","Return/Refund Issue"
85,"I cannot reach customer service through any contact method","Customer Service"
86,"My refund was processed in-store but not reflected in my account","Billing Issue"
87,"I was asked to pay additional shipping fees after ordering","Billing Discrepancy"
88,"My credit card was declined despite having sufficient balance","Billing Issue"
89,"The courier service delivered my package to a neighbor without my consent","Product Delivery Issue"
90,"The website does not show previous order history","Technical Issue"
91,"The order status is stuck on processing","Product Delivery Issue"
92,"The website does not accept my promo code even though it is valid","Billing Discrepancy"
93,"The company ignores negative feedback from customers","Customer Service"
94,"The mobile app doesn’t allow me to complete the purchase","Technical Issue"
95,"My account got suspended after I left a bad review","Account Problem"
96,"The seller gave me a fake return address","Return/Refund Issue"
97,"I was forced to buy insurance for my package","Billing Issue"
98,"The seller does not respond to any messages","Customer Service"
99,"The store removed my item from my cart after I added it","Technical Issue"
100,"The product was missing essential features advertised","Product Quality Issue"
101,"I did not receive my product but it is showing as delivered","Product Delivery Issue"
102,"The tracking says my order was delivered, but I never got it","Product Delivery Issue"
103,"My package is marked as received, but I haven’t received anything","Product Delivery Issue"
104,"The courier claims my package was handed over, but I did not get it","Product Delivery Issue"
105,"I checked with my neighbors, but my package is missing","Product Delivery Issue"
106,"The delivery person updated the status as delivered without actually delivering","Product Delivery Issue"
107,"I received a delivery confirmation, but my package is nowhere to be found","Product Delivery Issue"
108,"The tracking status changed to delivered, but I have not received my order","Product Delivery Issue"
109,"My package is missing, but the system says it was delivered","Product Delivery Issue"
110,"My parcel was marked delivered, but it was not left at my house","Product Delivery Issue"
111,"I was charged twice for the same order","Transaction Issue"
112,"My payment was deducted but the order was not confirmed","Transaction Issue"
113,"I got charged extra without any explanation","Transaction Issue"
114,"The payment gateway failed, but the money was debited","Transaction Issue"
115,"I tried to pay, but the transaction failed multiple times","Transaction Issue"
116,"I was supposed to receive a cashback, but I didn't get it","Transaction Issue"
117,"My refund was processed, but the money has not been credited to my account","Transaction Issue"
118,"I paid for express delivery, but the product was delivered late","Transaction Issue"
119,"My credit card was charged, but the order history does not show any purchase","Transaction Issue"
120,"The system keeps rejecting my valid payment method","Transaction Issue"
121,"I was charged an unexpected foreign transaction fee","Transaction Issue"
122,"I made a UPI payment, but the transaction is stuck","Transaction Issue"
123,"My account shows a transaction, but the merchant claims they did not receive it","Transaction Issue"
124,"The refund amount is incorrect, I got less than expected","Transaction Issue"
125,"I canceled my order, but I was still charged","Transaction Issue"
126,"I have canceled my order and the payment has not been refunded","Transaction Issue"
127,"I canceled my order, but I have not received my refund","Transaction Issue"
128,"I canceled my order, and they said the refund was processed, but I didn’t get it","Transaction Issue"
129,"I was promised a refund after cancellation, but I haven't received it yet","Transaction Issue"
130,"I requested a cancellation, but they still charged me","Transaction Issue"
131,"I was charged for an order that I canceled before shipping","Transaction Issue"
132,"My refund is pending for over a month after cancellation","Transaction Issue"
133,"The system says the refund was processed, but my bank account does not show it","Transaction Issue"
134,"I canceled my order, but they issued store credit instead of a refund","Transaction Issue"
135,"I was told my refund would be processed in 7 days, but it has been weeks","Transaction Issue"
136,"I canceled my order, but customer service keeps delaying my refund","Transaction Issue"
137,"I canceled my order, but I only received a partial refund","Transaction Issue"
138,"I have been waiting for a refund for my canceled order, but nothing has happened","Transaction Issue"
139,"I canceled my order, but they refused to process my refund","Transaction Issue"
140,"My refund was rejected without any reason after canceling the order","Transaction Issue"
141,"I received a refund notification, but the money is not credited yet","Transaction Issue"
142,"I canceled my subscription, but they still charged me for the next month","Transaction Issue"
143,"My refund was approved, but I was not given the full amount","Transaction Issue"
144,"I returned my order and was promised a refund, but I got nothing","Transaction Issue"
145,"I paid for an order, canceled it immediately, and still didn’t receive a refund","Transaction Issue"
146,"My order is delayed by more than a week","Product Delivery Delay"
147,"The product delivery is taking too long","Product Delivery Delay"
148,"I have been waiting for my package, but it has not arrived","Product Delivery Delay"
149,"My order status is stuck on processing","Product Delivery Delay"
150,"My order was delayed without any explanation","Product Delivery Delay"
151,"The delivery service is too slow","Product Delivery Delay"
152,"I was promised a 2-day delivery, but it's been a week","Product Delivery Delay"
153,"The estimated delivery time keeps changing","Product Delivery Delay"
154,"I need my order urgently, but it's getting delayed","Product Delivery Delay"
155,"The company is not providing updates on my delayed order","Product Delivery Delay"